image,layer,mean,sd,roughness_Ra,roughness_Ra1
Resized_16_0007.tif,ilm - isos,10.90770,6.09878,4.69698,0.43061
Resized_16_0008.tif,ilm - isos,9.97656,4.81318,3.79339,0.38023
Resized_16_0009.tif,ilm - isos,24.77836,39.88503,25.52041,1.02995
Resized_16_0010.tif,ilm - isos,15.76459,22.66703,12.48066,0.79169
Resized_16_0011.tif,ilm - isos,9.65230,5.03683,3.70730,0.38408
Resized_16_0012.tif,ilm - isos,9.31672,4.37026,3.30387,0.35462
Resized_16_0013.tif,ilm - isos,133.52311,114.26336,102.49870,0.76765
Resized_16_0014.tif,ilm - isos,8.84787,3.77201,2.97273,0.33598
Resized_16_0016.tif,ilm - isos,10.25131,5.66675,4.05321,0.39538
Resized_16_0018.tif,ilm - isos,11.47131,7.08515,5.05245,0.44044
Resized_16_0019.tif,ilm - isos,9.84082,4.69077,3.58145,0.36394
Resized_16_0020.tif,ilm - isos,53.56066,71.79028,61.49755,1.14819
Resized_16_0021.tif,ilm - isos,10.50885,5.59552,4.31201,0.41032
Resized_16_0023.tif,ilm - isos,9.68721,4.19212,3.42644,0.35371
Resized_16_0024.tif,ilm - isos,10.09000,4.40947,3.46473,0.34338
Resized_16_0026.tif,ilm - isos,10.71869,6.51945,4.46249,0.41633
Resized_16_0027.tif,ilm - isos,10.65902,6.63818,4.67944,0.43901
Resized_16_0028.tif,ilm - isos,10.35164,5.25479,4.25010,0.41057
Resized_16_0030.tif,ilm - isos,50.06475,71.14517,59.31823,1.18483
Resized_16_0031.tif,ilm - isos,9.87082,4.57615,3.48809,0.35337
Resized_16_0032.tif,ilm - isos,10.64951,5.08644,3.98397,0.37410
Resized_16_0034.tif,ilm - isos,108.05607,138.26723,123.04261,1.13869
Resized_16_0035.tif,ilm - isos,10.80836,5.00321,4.09812,0.37916
Resized_16_0037.tif,ilm - isos,11.01639,5.60594,4.27610,0.38816
Resized_16_0040.tif,ilm - isos,12.40705,7.71434,5.63860,0.45447
Resized_16_0041.tif,ilm - isos,11.14623,6.46348,4.67202,0.41916
Resized_16_0044.tif,ilm - isos,11.53770,5.90403,4.52373,0.39208
Resized_16_0045.tif,ilm - isos,223.52148,194.06440,186.57630,0.83471
Resized_16_0046.tif,ilm - isos,11.12836,6.24068,4.49571,0.40399
Resized_16_0047.tif,ilm - isos,10.66820,5.19700,4.07178,0.38167
Resized_16_0048.tif,ilm - isos,10.24590,5.48179,4.18207,0.40817
Resized_16_0050.tif,ilm - isos,10.51230,5.34766,4.17362,0.39702
Resized_16_0051.tif,ilm - isos,10.38361,5.19693,4.02975,0.38809
Resized_16_0053.tif,ilm - isos,9.81557,4.75322,3.63012,0.36983
Resized_16_0054.tif,ilm - isos,10.72164,4.99387,3.94605,0.36804
Resized_16_0055.tif,ilm - isos,10.72361,5.75940,4.46251,0.41614
Resized_16_0056.tif,ilm - isos,12.40230,6.76455,5.13890,0.41435
Resized_16_0057.tif,ilm - isos,25.24262,40.68685,25.63588,1.01558
Resized_16_0059.tif,ilm - isos,9.96836,4.37470,3.48303,0.34941
Resized_16_0062.tif,ilm - isos,12.73541,6.73883,5.22647,0.41039
Resized_16_0064.tif,ilm - isos,11.36262,5.54325,4.43836,0.39061
Resized_16_0065.tif,ilm - isos,11.20361,5.20725,4.12834,0.36848
Resized_16_0066.tif,ilm - isos,20.08180,29.66035,16.78403,0.83578
Resized_16_0068.tif,ilm - isos,11.05049,5.95744,4.48682,0.40603
Resized_16_0070.tif,ilm - isos,10.97492,5.22350,3.97530,0.36222
Resized_16_0072.tif,ilm - isos,10.97967,6.06768,4.61589,0.42040
Resized_16_0075.tif,ilm - isos,10.96852,5.06259,4.21304,0.38410
Resized_16_0077.tif,ilm - isos,11.59984,6.22350,4.81588,0.41517
Resized_16_0082.tif,ilm - isos,11.18295,5.41142,4.30358,0.38483
Resized_16_0083.tif,ilm - isos,10.96016,5.86878,4.22625,0.38560
Resized_16_0086.tif,ilm - isos,11.04607,5.59202,4.23293,0.38321
Resized_16_0087.tif,ilm - isos,11.86820,6.54584,4.90669,0.41343
Resized_16_0088.tif,ilm - isos,11.41344,5.66857,4.47797,0.39234
Resized_16_0089.tif,ilm - isos,12.08721,8.48097,5.54541,0.45878
Resized_16_0091.tif,ilm - isos,10.94492,4.81815,3.88081,0.35458
Resized_16_0093.tif,ilm - isos,11.40213,6.08189,4.49280,0.39403
Resized_16_0094.tif,ilm - isos,10.91656,5.51827,4.16061,0.38113
Resized_16_0096.tif,ilm - isos,77.27689,94.20222,83.51640,1.08074
Resized_16_0097.tif,ilm - isos,64.36902,83.94772,73.57183,1.14297
Resized_16_0099.tif,ilm - isos,10.89639,4.93533,3.94774,0.36230
Resized_16_0100.tif,ilm - isos,10.71754,5.10757,3.85676,0.35985
Resized_16_0103.tif,ilm - isos,10.12721,4.96568,3.84722,0.37989
Resized_16_0107.tif,ilm - isos,10.15508,4.70726,3.79563,0.37377
Resized_16_0110.tif,ilm - isos,10.30721,4.84768,3.83853,0.37241
Resized_16_0111.tif,ilm - isos,11.34803,6.69564,4.70206,0.41435
Resized_16_0112.tif,ilm - isos,11.04902,5.96630,4.47425,0.40495
Resized_16_0113.tif,ilm - isos,25.81197,31.80230,23.13811,0.89641
Resized_16_0114.tif,ilm - isos,10.97770,5.08425,4.04379,0.36836
Resized_16_0115.tif,ilm - isos,24.75000,26.00347,21.59582,0.87256
Resized_16_0117.tif,ilm - isos,113.30066,117.88597,107.22052,0.94634
Resized_16_0118.tif,ilm - isos,25.41590,34.71622,22.87781,0.90014
